pmid,gold_annotations,manual_annotations,exact_matches,span_boundary_differences,category_differences,gold_only_omissions,manual_only_annotations
8808605,5,4,4,0,0,1,0
9050866,3,3,3,0,0,0,0
9012409,3,3,3,0,0,0,0
8755645,6,5,5,0,0,1,0
8751855,11,11,11,0,0,0,0
8674108,3,3,3,0,0,0,0
9223312,5,5,5,0,0,0,0
8917548,4,4,4,0,0,0,0
8825599,2,2,2,0,0,0,0
9072974,10,9,9,0,0,1,0
8898652,8,8,8,0,0,0,0
8938427,4,4,4,0,0,0,0
8621452,5,5,5,0,0,0,0
8843194,12,11,11,0,0,1,0
8700509,1,1,1,0,0,0,0
9241281,8,7,7,0,0,1,0
9218625,3,3,3,0,0,0,0
8931701,11,11,11,0,0,0,0
8661102,3,3,3,0,0,0,0
8782829,10,9,9,0,0,1,0
9066888,9,8,8,0,0,1,0
8841191,9,9,9,0,0,0,0
8678979,1,1,1,0,0,0,0
9182899,5,5,5,0,0,0,0
9020847,4,4,4,0,0,0,0
9174057,10,10,9,1,0,0,0
9083764,23,22,22,0,0,1,0
8636252,24,24,19,3,2,0,0
8640236,21,21,21,0,0,0,0
9050868,3,3,3,0,0,0,0
9138149,3,3,3,0,0,0,0
8931709,16,16,15,1,0,0,0
8824873,11,11,10,0,1,0,0
8944024,1,1,1,0,0,0,0
8670333,5,5,5,0,0,0,0
9144525,6,6,6,0,0,0,0
9222760,8,8,7,1,0,0,0
9056547,12,11,11,0,0,1,0
8790412,2,2,2,0,0,0,0
9090524,12,12,12,0,0,0,0
8843193,5,5,5,0,0,0,0
8659549,8,8,8,0,0,0,0
9145677,14,14,14,0,0,0,0
9271438,10,10,8,2,0,0,0
8605116,2,2,2,0,0,0,0
8723064,6,6,6,0,0,0,0
8666397,4,4,4,0,0,0,0
8789439,10,10,9,1,0,0,0
8659522,10,10,10,0,0,0,0
8894695,14,14,14,0,0,0,0
